GEOID,unemployment_2019,unemployment_2020,delta_unemployment,state_name,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
05009,0.03188576001496593,0.05593443690181811,0.02404867688685218,Arkansas,Boone County,13652,3064,17114,10588,0.7977094776206615,0.17903470842585018,0.6186747691948113
05011,0.04128099327162559,0.06199572964495589,0.020714736373330295,Arkansas,Bradley County,2335,1214,3654,1121,0.6390257252326218,0.3322386425834702,0.3067870826491516
05013,0.043868293180196395,0.055780366985278725,0.01191207380508233,Arkansas,Calhoun County,1636,479,2182,1157,0.7497708524289642,0.21952337305224565,0.5302474793767186
05015,0.03127872486065386,0.06112970018220971,0.029850975321555846,Arkansas,Carroll County,7424,4023,11797,3401,0.6293125370856998,0.3410189031109604,0.2882936339747394
05017,0.06930843776954691,0.11398922895047943,0.044680791180932516,Arkansas,Chicot County,1752,2260,4103,-508,0.42700463075798195,0.5508164757494516,-0.12381184499146963
05019,0.0379386549491371,0.06130278266810311,0.02336412771896601,Arkansas,Clark County,4616,3438,8395,1178,0.5498511018463371,0.4095294818344253,0.14032162001191184
05021,0.048891557091398946,0.06469534594249977,0.015803788851100828,Arkansas,Clay County,4086,962,5183,3124,0.78834651746093,0.1856067914335327,0.6027397260273972
05023,0.04525499972901198,0.08219367315927614,0.03693867343026416,Arkansas,Cleburne County,10328,1988,12680,8340,0.8145110410094637,0.15678233438485806,0.6577287066246056
05025,0.039522724919763955,0.06670915657531337,0.027186431655549417,Arkansas,Cleveland County,2867,651,3600,2216,0.7963888888888889,0.18083333333333335,0.6155555555555556
05027,0.044875593767379957,0.0719848757586996,0.02710928199131965,Arkansas,Columbia County,5500,2814,8616,2686,0.638347260909935,0.3266016713091922,0.3117455896007428
05029,0.04333393687005854,0.06609301372669535,0.022759076856636806,Arkansas,Conway County,5694,2615,8685,3079,0.6556131260794473,0.30109383995394357,0.35451928612550376
05031,0.027932634643115444,0.05632063218909989,0.028387997545984447,Arkansas,Craighead County,25558,11921,38511,13637,0.6636545402612241,0.30954792137311415,0.3541066188881099
05033,0.033207659305759335,0.05872163795103564,0.025513978645276304,Arkansas,Crawford County,18607,4959,24091,13648,0.7723631231580258,0.20584450624714623,0.5665186169108796
05035,0.04249930950778603,0.08812527014813942,0.045625960640353395,Arkansas,Crittenden County,7333,8514,16367,-1181,0.44803568155434714,0.5201930714242072,-0.07215738986986009
05037,0.04237783624547437,0.0648663443116504,0.022488508066176034,Arkansas,Cross County,4946,1772,6942,3174,0.7124747911264765,0.25525785076346874,0.45721694036300775
05039,0.047018079361352424,0.06031074744874506,0.013292668087392635,Arkansas,Dallas County,1573,963,2649,610,0.5938089845224613,0.3635334088335221,0.23027557568893925
05041,0.044653874629812434,0.07497391799184346,0.03032004336203102,Arkansas,Desha County,1921,2016,4164,-95,0.4613352545629203,0.484149855907781,-0.022814601344860685
05043,0.05193387729151213,0.07403788742332953,0.022104010131817405,Arkansas,Drew County,4349,2426,6908,1923,0.6295599305153445,0.3511870295309786,0.27837290098436596
05045,0.030039509864118106,0.05920302030825399,0.02916351044413588,Arkansas,Faulkner County,34421,18347,54428,16074,0.6324134636584111,0.3370875284779893,0.29532593518042183
05047,0.033584288780401005,0.06095951448972916,0.027375225709328155,Arkansas,Franklin County,5677,1300,7129,4377,0.7963248702482817,0.18235376630663488,0.6139711039416468
05049,0.04009136868271217,0.05442715795506262,0.014335789272350456,Arkansas,Fulton County,3961,1035,5119,2926,0.7737839421762063,0.20218792732955657,0.5715960148466497
05051,0.03718013834470082,0.08536516570968067,0.04818502736497985,Arkansas,Garland County,29069,14045,44199,15024,0.6576845629991629,0.3177673703024955,0.33991719269666737
05053,0.03175516194934248,0.05636012675867337,0.024604964809330894,Arkansas,Grant County,6794,1268,8200,5526,0.8285365853658536,0.1546341463414634,0.6739024390243902
05055,0.03484523151936007,0.062219932825757385,0.02737470130639731,Arkansas,Greene County,12670,3058,16100,9612,0.7869565217391304,0.18993788819875776,0.5970186335403727
